tour_id,utility
48410873,-14.057766111567616
48410873,-14.804204309359193
48410873,-14.351948218420148
48410873,-14.411744209006429
48410873,-15.922205688431859
48410873,-15.250873835757375
48410873,-11.736724765971303
48410873,-12.427568705752492
48410873,-13.05082950182259
48410873,-14.257416160777211
48410873,-15.020019562914968
48410873,-17.475186379626393
48410873,-12.986316781491041
48410873,-13.732754979282618
48410873,-12.649450924247503
48410873,-13.340294878929853
48410873,-14.850756358355284
48410873,-11.882160168141127
48410873,-10.665275435894728
48410873,-11.93446383997798
48410873,-12.495122950524092
48410873,-13.257726173847914
48410873,-14.278854709118605
48410873,-13.19709842838347
48410873,-13.312488662078977
48410873,-12.860232571139932
48410873,-13.551076525822282
48410873,-12.76427366770804
48410873,-12.092941815033555
48410873,-11.454401547089219
48410873,-12.660988265648484
48410873,-12.777663940563798
48410873,-13.798792297020555
48410873,-11.344180587679148
48410873,-12.090618785470724
48410873,-11.63836269453168
48410873,-10.031942311674356
48410873,-11.542403791099787
48410873,-11.449416402727365
48410873,-10.748274449259043
48410873,-11.51087773218751
48410873,-11.886078540235758
48410873,-10.492904027923942
48410873,-11.239342225715518
48410873,-8.4898217972368
48410873,-9.18066575191915
48410873,-11.269471695646644
48410873,-11.113882621750236
48410873,-9.968757232651114
48410873,-10.989885648712516
48410873,-9.94262758642435
48410873,-8.391801446676254
48410873,-7.939545355737209
48410873,-9.208733774721622
48410873,-11.234938032925129
48410873,-10.635365523397923
48410873,-9.748765267431736
48410873,-9.679108241572976
48410873,-10.425546439364552
48410873,-10.55163481272757
48410873,-11.758221546187997
48410873,-13.340442368760705
48410873,-12.999394992366433
48410873,-12.460831705480814
48410873,-13.785614367574453
48410873,-13.849101055413485
48410873,-14.611704353243113
48410873,-16.452450308948755
48410873,-13.698899632319808
48410873,-14.96108060888946
48410873,-14.580583861097693
48410873,-15.601712292060256
48410873,-14.326872818171978
48410873,-15.145070359110832
48410873,-15.023098744452
48410873,-15.058355638757348
48410873,-16.135078312829137
48410873,-16.048363585025072
