label,value
household_id,456291
serialno,2011000577793
VEHICL,2.0
income,176000.0
race_of_head,9
age_of_head,38
num_workers,2.0
hispanic_status_of_head,0
tenure,2
recent_mover,1
sf_detached,no
hh_age_of_head,gt35-lt65
hh_race_of_head,other
hispanic_head,no
hh_size,three
hh_cars,two or more
hh_children,yes
seniors,0.0
hh_income,gt150
hh_workers,two or more
tenure_mover,rent recent
hh_seniors,no
block_id,60014431052029
lcm_county_id,6001
hhsize,3
gt55,0
gt2,1
hh_type,7
TAZ,755
HHT,4
sample_rate,0.008
chunk_id,7202
income_in_thousands,176.0
income_segment,4
median_value_of_time,12.86
hh_value_of_time,50.0
num_non_workers,1.0
num_drivers,2
num_adults,2
num_children,1
num_young_children,1
num_children_5_to_15,0
num_children_16_to_17,0
num_college_age,0
num_young_adults,0
non_family,True
family,False
home_is_urban,False
home_is_rural,False
auto_ownership,2.0
