label,value_1,value_2,value_3
person_id,1180752,1180753,1180754
age,1,38,38
earning,0.0,56000.0,120000.0
edu,0.0,22.0,22.0
hispanic,0,0,0
hours,0.0,40.0,40.0
PNUM,3,1,2
race_id,9,9,2
relate,2,0,1
sex,1,2,1
student,0,0,0
work_at_home,0,0,0
worker,0,1,1
household_id,456291,456291,456291
person_age,19 and under,35 to 60,35 to 60
person_sex,male,female,male
race,other,other,black
hispanic.1,0,0,0
p_hispanic,no,no,no
MAR,5,1,1
TAZ,755,755,755
ptype,8,1,1
pemploy,4,1,1
pstudent,1,3,3
home_x,-121.9209833,-121.9209833,-121.9209833
home_y,37.5205143,37.5205143,37.5205143
age_16_to_19,False,False,False
age_16_p,False,True,True
adult,False,True,True
male,True,False,True
female,False,True,False
has_non_worker,False,False,False
has_retiree,False,False,False
has_preschool_kid,False,True,True
has_driving_kid,False,False,False
has_school_kid,False,False,False
has_full_time,True,True,True
has_part_time,False,False,False
has_university,False,False,False
student_is_employed,False,False,False
nonstudent_to_school,False,False,False
is_student,True,False,False
is_gradeschool,True,False,False
is_highschool,False,False,False
is_university,False,False,False
school_segment,1,0,0
is_worker,False,True,True
home_taz,755,755,755
_hh_vot,50.0,50.0,50.0
value_of_time,33.35,50.0,50.0
