trip_id,dest_taz,prob,pick_count,od_logsum,dp_logsum,trip_id,person_id,household_id,tour_id,primary_purpose,trip_num,outbound,trip_count,purpose,destination,origin,failed,next_trip_id,tour_mode,trip_period,is_joint
387286909,33,0.000169068,1,-4.0668912005658635,-3.496347346643733,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,110,6.89796e-05,1,-3.9813337430228475,-3.3306387124708174,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,724,0.0026748574,1,-3.8922485533453,-2.375892217616339,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,728,0.0008215816,1,-3.827134842568241,-2.393148561340177,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,729,0.0032324055,1,-3.726808743069731,-2.4351670058136623,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,730,0.011588056,1,-3.6052495886483573,-2.3139798233907274,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,732,0.010845079,1,-3.50583842075993,-2.2476569968283,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,744,0.0035354327,1,-3.7476597599754564,-2.1964587777005278,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,752,0.0061848215,1,-4.101885299816118,-1.8099426559938212,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,796,0.011075593,1,-4.048767861120218,-2.2791816354646577,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,819,0.002141192,1,-3.977796627164694,-2.297727130905034,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,848,0.0042552087,2,-3.8352670532083004,-2.6173429482306525,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,863,0.0063196165,1,-3.6956771069317638,-2.537298239250061,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,1014,0.007921564,1,-3.1221714759725465,-3.2228694563526403,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,1050,0.0012149219,1,-2.9669545186365056,-3.284631406812162,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,1118,0.0065351813,1,-2.9102854745777917,-3.060897031206175,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,1121,0.020631077,2,-2.79712434592156,-2.9143621386680607,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,1122,0.045488525,3,-2.7593540738195133,-3.056434876858581,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,1123,0.013665916,1,-2.705188016032365,-3.0257721891112164,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,1161,0.016781554,1,-3.123846472133974,-2.6123523438090723,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,1246,0.012264626,1,-2.388811728093561,-3.6197139650507,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,1250,0.0145385945,2,-1.9541663233940343,-3.8710301914479115,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,1274,0.00093612005,1,-2.0566747579528015,-4.12593600247798,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,1280,0.005434841,1,-2.133247962531382,-4.262484907209041,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
387286909,1431,3.7102094e-05,1,-3.479213494995095,-3.880016107938573,387286909,1180752,456291,48410863,school,1,False,2,shopping,755,1257,False,387286910,SHARED3FREE,MD,False
