alternative,probability_1,probability_2
person_id,1180753.0,1180754.0
0,0.02233093717822425,0.026826856026637518
1,0.017916874472088725,0.027397321175719885
2,0.02437926240508476,0.029325927593178064
3,0.031849545164328995,0.03237494494901637
4,0.03688078976618036,0.031391091234353366
5,0.03543295304697506,0.034922918241416176
6,0.03446425304763678,0.03396816206197776
7,0.03563372959163277,0.03332708301327464
8,0.03481182808387665,0.03486699573416291
9,0.03133941512271992,0.03657955928809581
10,0.03392093579099031,0.035137077933310626
11,0.03385482133933369,0.03617974473991486
12,0.036952092002670585,0.036447586871925244
13,0.0349955326450538,0.0335740231366185
14,0.03223387746372554,0.03543381815945118
15,0.030197068952937656,0.11469789616941758
16,0.036474962530266004,0.039983946713563
17,0.07758200773225693,0.03795313523629942
18,0.041243003046537836,0.03703977997582051
19,0.03906745591772483,0.0395553036423501
20,0.039556641538448394,0.03548443371367593
21,0.036819711626335024,0.031794752202022124
22,0.06696456863876307,0.029914251470863986
23,0.034536634186204625,0.02488928813766005
24,0.03225910143380882,0.051436433452922446
25,0.03145126847196989,0.028034268228638297
26,0.030454323312511463,0.03146340089771372
27,0.026396405491713338,0.0
28,0.0,0.0
29,0.0,0.0
